ts_code,trade_time,open,close,high,low,vol,amount,oi
CU1811.SHF,2018-10-18 22:43:00,50150.0,50100.0,50150.0,50090.0,1124.0,281620000.0,
CU1811.SHF,2018-10-18 22:44:00,50100.0,50150.0,50160.0,50100.0,908.0,227655400.0,
CU1811.SHF,2018-10-18 22:45:00,50160.0,50170.0,50180.0,50130.0,526.0,131896700.0,
CU1811.SHF,2018-10-18 22:46:00,50170.0,50130.0,50170.0,50090.0,1026.0,257135500.0,
CU1811.SHF,2018-10-18 22:47:00,50130.0,50120.0,50130.0,50110.0,244.0,61148000.0,
CU1811.SHF,2018-10-18 22:48:00,50120.0,50090.0,50120.0,50090.0,290.0,72650100.0,
CU1811.SHF,2018-10-18 22:49:00,50090.0,50050.0,50110.0,50000.0,1204.0,301223600.0,
CU1811.SHF,2018-10-18 22:50:00,50050.0,50070.0,50090.0,50040.0,462.0,115660200.0,
CU1811.SHF,2018-10-18 22:51:00,50060.0,50070.0,50080.0,50020.0,432.0,108107600.0,
CU1811.SHF,2018-10-18 22:52:00,50070.0,50120.0,50130.0,50060.0,426.0,106703200.0,
CU1811.SHF,2018-10-18 22:53:00,50120.0,50120.0,50130.0,50090.0,346.0,86685700.0,
CU1811.SHF,2018-10-18 22:54:00,50110.0,50140.0,50150.0,50110.0,156.0,39100200.0,
CU1811.SHF,2018-10-18 22:55:00,50140.0,50170.0,50180.0,50140.0,364.0,91302100.0,
CU1811.SHF,2018-10-18 22:56:00,50170.0,50170.0,50170.0,50150.0,390.0,97821400.0,
CU1811.SHF,2018-10-18 22:57:00,50180.0,50180.0,50210.0,50170.0,544.0,136502000.0,
CU1811.SHF,2018-10-18 22:58:00,50180.0,50170.0,50190.0,50160.0,264.0,66224600.0,
CU1811.SHF,2018-10-18 22:59:00,50170.0,50180.0,50190.0,50160.0,376.0,94338200.0,
CU1811.SHF,2018-10-18 23:00:00,50180.0,50170.0,50190.0,50170.0,236.0,59213900.0,
CU1811.SHF,2018-10-18 23:01:00,50170.0,50170.0,50190.0,50160.0,164.0,41145900.0,
CU1811.SHF,2018-10-18 23:02:00,50170.0,50190.0,50190.0,50170.0,98.0,24589900.0,
CU1811.SHF,2018-10-18 23:03:00,50190.0,50200.0,50220.0,50160.0,228.0,57220200.0,
CU1811.SHF,2018-10-18 23:04:00,50200.0,50200.0,50220.0,50190.0,166.0,41668800.0,
CU1811.SHF,2018-10-18 23:05:00,50200.0,50180.0,50200.0,50170.0,134.0,33620900.0,
CU1811.SHF,2018-10-18 23:06:00,50180.0,50150.0,50180.0,50150.0,160.0,40126300.0,
CU1811.SHF,2018-10-18 23:07:00,50150.0,50160.0,50180.0,50140.0,208.0,52168700.0,
CU1811.SHF,2018-10-18 23:08:00,50150.0,50170.0,50190.0,50150.0,182.0,45659700.0,
CU1811.SHF,2018-10-18 23:09:00,50170.0,50170.0,50180.0,50160.0,262.0,65720200.0,
CU1811.SHF,2018-10-18 23:10:00,50170.0,50190.0,50190.0,50170.0,106.0,26599200.0,
CU1811.SHF,2018-10-18 23:11:00,50190.0,50200.0,50200.0,50180.0,102.0,25599400.0,
CU1811.SHF,2018-10-18 23:12:00,50200.0,50190.0,50200.0,50180.0,142.0,35636200.0,
CU1811.SHF,2018-10-18 23:13:00,50180.0,50190.0,50190.0,50180.0,66.0,16562300.0,
CU1811.SHF,2018-10-18 23:14:00,50190.0,50180.0,50190.0,50180.0,28.0,7025800.0,
CU1811.SHF,2018-10-18 23:15:00,50180.0,50170.0,50190.0,50170.0,164.0,41146700.0,
CU1811.SHF,2018-10-18 23:16:00,50170.0,50170.0,50180.0,50160.0,74.0,18563600.0,
CU1811.SHF,2018-10-18 23:17:00,50170.0,50190.0,50190.0,50160.0,84.0,21074600.0,
CU1811.SHF,2018-10-18 23:18:00,50190.0,50200.0,50220.0,50180.0,90.0,22588700.0,
CU1811.SHF,2018-10-18 23:19:00,50200.0,50210.0,50220.0,50200.0,116.0,29122100.0,
CU1811.SHF,2018-10-18 23:20:00,50210.0,50200.0,50210.0,50200.0,74.0,18576400.0,
CU1811.SHF,2018-10-18 23:21:00,50200.0,50190.0,50210.0,50190.0,54.0,13554000.0,
CU1811.SHF,2018-10-18 23:22:00,50200.0,50220.0,50220.0,50200.0,90.0,22595300.0,
CU1811.SHF,2018-10-18 23:23:00,50220.0,50210.0,50230.0,50210.0,48.0,12051300.0,
CU1811.SHF,2018-10-18 23:24:00,50210.0,50220.0,50220.0,50200.0,58.0,14560100.0,
CU1811.SHF,2018-10-18 23:25:00,50220.0,50260.0,50260.0,50220.0,254.0,63796400.0,
